date,area,area_type,unvaccinated_cases,vaccinated_cases,unvaccinated_hosp,vaccinated_hosp,unvaccinated_deaths,vaccinated_deaths,population_unvaccinated,population_vaccinated,unvaccinated_cases_per_100k,vaccinated_cases_per_100k,unvaccinated_hosp_per_100k,vaccinated_hosp_per_100k,unvaccinated_deaths_per_100k,vaccinated_deaths_per_100k
2022-04-28,California,State,1969,4616,47,80,4,6,6678344,28332390,26.0693369493994,13.7934004155668,0.682376178457243,0.250092360217909,0.0983990727555899,0.0186560833227069
2022-04-29,California,State,1850,4205,42,80,10,0,6671568,28339152,26.935197242987,14.2533753807655,0.710905913401039,0.257090059918317,0.111346709327874,0.01562704285778
2022-04-30,California,State,1296,3147,59,83,6,8,6667735,28342461,27.5098772564554,14.6579669684597,0.77344748361218,0.271173144975459,0.104983176445975,0.018145414905421
2022-05-01,California,State,1384,3511,43,84,5,5,6666244,28343370,28.3496545109531,15.2174665791078,0.786478434161297,0.284269049768706,0.0942916923790111,0.01814483296396
2022-05-02,California,State,2955,6798,66,91,3,7,6660463,28348541,29.7898638149158,16.0864917679034,0.782871358085123,0.292280096027315,0.0815044153622868,0.0191493856017896
2022-05-03,California,State,2930,6426,46,105,6,5,6654683,28353621,31.3162926017663,16.8781667377561,0.749203874281357,0.304319911328836,0.0837219229139626,0.0196497955990474
2022-05-04,California,State,2820,6356,53,96,1,9,6649143,28358669,32.6658638564398,17.6610142437523,0.764867635680912,0.311822009095601,0.0751976608113256,0.0201500490530275
2022-05-05,California,State,2720,6084,59,97,2,4,6643340,28363706,34.3093340742114,18.3972533671829,0.791340328380432,0.320328883881193,0.0709625837949844,0.0191391471501342
2022-05-06,California,State,2607,5737,67,96,0,13,6638109,28369111,35.965492151885,19.1652110635402,0.845765821905864,0.328324906419722,0.0494977453023788,0.0256818561770028
2022-05-07,California,State,1670,4197,53,73,3,8,6634520,28372415,36.7902597754946,19.6916617778219,0.833303905719092,0.323251600945093,0.043064801329152,0.0256788654956382
2022-05-08,California,State,1665,4009,53,94,10,8,6632381,28374094,37.4073805470464,19.9412282807791,0.855111998455543,0.328267246675285,0.053848362623145,0.0271877780988733
2022-05-09,California,State,3835,8294,74,117,6,5,6627274,28378533,39.3331298164869,20.6911933850039,0.873015705358536,0.341304262828325,0.060356641358121,0.0261767281225264
2022-05-10,California,State,3512,7742,64,125,8,13,6622189,28383090,40.618851906177,21.3502375634828,0.912516562553129,0.351315821195951,0.0647174867058957,0.0301990677245803
2022-05-11,California,State,3616,7572,75,141,6,4,6617079,28387912,42.3687162956862,21.9585414685357,0.960717388615559,0.37390159988821,0.0755620418012238,0.0276777765731515
2022-05-12,California,State,3439,7344,62,140,6,3,6611803,28392534,43.9560240116911,22.5889363329509,0.967965923969604,0.395476199080062,0.0842648907027111,0.0271701205474852
2022-05-13,California,State,3426,7274,68,124,12,8,6605728,28398655,45.7676385446951,23.3572430002155,0.971018745289802,0.409476132886273,0.110293888663207,0.0246490546823432
2022-05-14,California,State,2192,5305,48,135,4,11,6602344,28401680,46.9205655272907,23.9120663687098,0.960697767771134,0.440617798464236,0.112514152982205,0.0261553944293839
2022-05-15,California,State,2152,5287,104,130,11,14,6600194,28403304,47.9899313782075,24.5534815245438,1.07139707884777,0.458699150935801,0.114715242785721,0.0291716565288119
2022-05-16,California,State,5366,10909,98,170,4,7,6595109,28407672,51.3432432601623,25.8647432586923,1.12420973092116,0.485281380526862,0.1104714764489,0.0301729355767997
2022-05-17,California,State,4945,10284,85,164,4,11,6590401,28412072,54.4861707634656,27.138866485043,1.17053358578419,0.504815598906589,0.101879775058994,0.0291626541201018
2022-05-18,California,State,4755,10111,112,164,10,5,6585719,28416495,56.9956208057378,28.4110639662934,1.25162600208985,0.516299725614597,0.110628988053002,0.0296608411015202
2022-05-19,California,State,4553,9144,97,183,8,7,6580825,28421033,59.4562883181711,29.3112900877721,1.32853512179053,0.537831059332512,0.115052878194278,0.0316666885401386
2022-05-20,California,State,4192,8822,101,159,10,7,6575126,28426499,61.1721031223258,30.0836001145068,1.40138542049015,0.555316864229897,0.11080721929457,0.031158050300682
2022-05-21,California,State,2506,5885,76,127,6,13,6571973,28429199,61.8840034796248,30.3721938439821,1.46292227833038,0.551244112485497,0.11520784658471,0.0321600940739032
2022-05-22,California,State,2513,5606,102,146,9,6,6570379,28430276,62.6839247564171,30.5313351764255,1.45892866845494,0.559262949118046,0.110887275843818,0.0281390163078262
2022-05-23,California,State,5741,12495,116,182,5,7,6566027,28434180,63.541360051411,31.3239709592972,1.49905828027468,0.565215123890634,0.113136473982995,0.0281351528336671
2022-05-24,California,State,5449,11577,90,185,11,14,6561300,28438200,64.6844810806221,31.9690717817182,1.51102460096105,0.575684416433831,0.128458863770464,0.0296382029403107
2022-05-25,California,State,5247,10822,106,189,7,13,6556367,28442534,65.8051718494186,32.3213114555827,1.49908805113738,0.58815334205354,0.122018794860019,0.0336518137639514
2022-05-26,California,State,4717,9822,109,156,4,0,6551790,28446724,66.2087329242412,32.6570368625123,1.52630044613762,0.574507530036047,0.113382318855938,0.0301315138130794
2022-05-27,California,State,4275,8950,114,184,6,12,6546152,28451800,66.4468879689058,32.7154797135607,1.55598499480524,0.58695759143534,0.104750742988291,0.0326366496520933
2022-05-28,California,State,2396,5854,87,161,9,14,6542839,28454495,66.2403583520854,32.6968174473463,1.58079040961533,0.603971860534312,0.111354020566826,0.0331356132961468
2022-05-29,California,State,2209,5094,105,134,13,13,6540983,28455889,65.5952083742066,32.4381762543825,1.58779105307479,0.597917911272627,0.120121744042797,0.0366482011107487
2022-05-30,California,State,2401,5739,100,159,7,12,6536378,28459869,58.3416162808909,29.0423985136002,1.55394055502036,0.586289216078763,0.124577512849733,0.0391528757312873
2022-05-31,California,State,7292,15180,126,219,3,10,6531660,28463875,62.4146738457649,30.8466182385317,1.63380037715199,0.603270938037374,0.107170305864053,0.0371398081653625
2022-06-01,California,State,6338,13062,113,214,13,6,6526689,28468064,64.8502085601356,31.9661458437878,1.65036645248894,0.615727554517632,0.120384820804896,0.0336216350062602
2022-06-02,California,State,5634,11188,130,185,9,12,6521872,28472234,66.9067321249394,32.6468436382116,1.69758446216494,0.630187892627503,0.131425893845027,0.0396376142655834
2022-06-03,California,State,4931,10393,120,202,11,8,6515872,28477497,68.4065880097969,33.3646899214091,1.71230233760621,0.639101112011354,0.142509157419211,0.0376236918374031
2022-06-04,California,State,2981,6911,108,168,11,5,6512209,28480450,69.7283693268619,33.8914187501552,1.75933279431647,0.642546027187071,0.146976679824443,0.0331054159206453
2022-06-05,California,State,2887,6136,119,173,6,12,6510121,28482007,71.2385266835176,34.412201760521,1.79061846272026,0.662072123539007,0.131663122258842,0.0326020363863905
2022-06-06,California,State,6464,13268,143,244,5,17,6505215,28486247,80.2147639569616,38.1828365907841,1.88639861579188,0.704600664714751,0.127370337271163,0.0351046594519805
2022-06-07,California,State,5860,11814,130,209,7,13,6500590,28490237,77.1248675669659,36.4896929428843,1.89653115002968,0.69948773780195,0.136251368831796,0.0366040178204605
2022-06-08,California,State,5496,11043,118,216,9,15,6495770,28494492,75.3303413496124,35.4720183415498,1.90893458358285,0.700385985373695,0.12755553669102,0.0411107020763371
2022-06-09,California,State,5012,9732,116,202,9,19,6491270,28498556,74.0136917957283,34.7370983588482,1.87944731924569,0.708807842755261,0.127643963133783,0.044613789254044
2022-06-10,California,State,4701,9500,120,223,14,15,6485649,28503932,73.5712251552841,34.2829894486136,1.88107620378469,0.719199021384138,0.134362585984621,0.0481136627546183
2022-06-11,California,State,2766,6353,115,166,10,18,6482822,28506322,73.12952820326,34.0004779090256,1.89732187618293,0.718136439047751,0.132217552347243,0.0546244744286147
2022-06-12,California,State,2468,5784,100,180,10,16,6480817,28507769,72.2285477278559,33.8223590909552,1.85602701458341,0.721607803522912,0.141075687569286,0.0566261679153397
2022-06-13,California,State,5786,11527,121,235,8,9,6480220,28508129,70.740543641155,32.9494991210602,1.80769876860442,0.717088699256873,0.147702216459141,0.0526165712242989
